grubhub_slug,grubhub_business_hours,ubereats_slug,ubereats_business_hours,is_out_range
wrapsoncra_milanspiz_gh,7560,wrapsoncrack_lemontreegourme_ue,1080,Out of Range
smoothiean_heavenlyma_gh,7560,smoothieanddess_1stavegourmetde_ue,7140,Out of Range
thechicken_omegsalad_gh,8400,thechickendream_omegasaladbarde_ue,6930,Out of Range
herosandwi_michaelang_gh,10080,herosandwichsho_heavenlymarketi_ue,10073,Out of Range
thesandwic_chelseafin_gh,5640,thesandwichcafe_saranbrothersll_ue,5220,Out of Range
patricias_canteendes_gh,10080,patriciaspanini_americanchoiceg_ue,10073,Out of Range
halalkabob_heavenlyma_gh,7680,halalkabobgrill_aladdinskitchen_ue,7455,Out of Range
thepancakespot_heavenlyma_gh,10080,thepancakespot_chelseafinefood_ue,1049,Out of Range
jjsphilly_salsplace_gh,6300,jjsphillycheese_omegasaladbarde_ue,1439,Out of Range
franksphillyche_daddysdelights_gh,5640,franksphillyche_daddysdelights_ue,480,Out of Range
indiasqui_goldstreet_gh,4194,indiasquickbite_canteendesidhab_ue,390,Out of Range
theministe_chelseafin_gh,5880,theministerwrap_saranbrothersll_ue,870,Out of Range
thesandwichslut_heavenlyma_gh,6480,thesandwichslut_1stavegourmetde_ue,1080,Out of Range
bageldynas_miyucatan_gh,10080,bageldynasty_lemontreegourme_ue,1439,Out of Range
hilltopsan_modenapizz_gh,6090,hilltopsandwich_modenapizzaicec_ue,900,Out of Range
sarahsbre_canteendes_gh,1260,sarahsbreakfast_americanchoiceg_ue,10073,Out of Range
xxxhotwing_paninicafe_gh,5310,xxxhotwings_villagecafegril_ue,630,Out of Range
theacaidre_allnitepiz_gh,6330,theacaidream_eastsidedeli_ue,930,Out of Range
veganfalafelspo_frescopizzagril_gh,7995,veganfalaf_frescopizz_ue,1140,Out of Range
theburrito_allnitepiz_gh,5400,theburritotaque_mrpizzaman_ue,780,Out of Range
kamalsvegetaria_desideli_gh,8610,kamalsvegetaria_desideli_ue,1230,Out of Range
smoothiean_canteendes_gh,8820,smoothieanddess_americanchoiceg_ue,10073,Out of Range
twohandbur_americanch_gh,7140,twohandburger_allnitepizza_ue,5880,Out of Range
midtownque_canteendes_gh,10080,midtownquesadil_americanchoiceg_ue,10073,Out of Range
nybreakfas_allnitepiz_gh,6330,nybreakfastspot_eastsidedeli_ue,4500,Out of Range
theshawarmaeats_frescopizzagril_gh,7995,theshawarmaeats_frescopizz_ue,5550,Out of Range
firenzepastaris_princedelimarke_gh,6030,firenzepastaris_princedelimarke_ue,8460,Out of Range
amandasbr_gaters_gh,5640,amandasbreakfas_miyucatan_ue,780,Out of Range
smokenhotw_americanch_gh,7560,smokenhotwingsb_allnitepizza_ue,5880,Out of Range
icecreamsu_americanch_gh,7140,icecreamsuperst_allnitepizza_ue,5880,Out of Range
theomelett_seaportdel_gh,5880,theomelettefarm_1upbistro_ue,5880,In Range
veganfalaf_tlkitche_gh,4200,veganfalafelspo_gaters_ue,5040,Out of Range
stellaspa_bigfamousd_gh,10080,stellaspancakeb_paninigrill9371_ue,10073,Out of Range
italiandes_paninigril_gh,10080,italiandesserts_seaportdeli_ue,10073,Out of Range
thebreakfastsno_chelseapapaya_gh,10080,thebreakfastsno_chelseapapaya_ue,10073,Out of Range
burritolov_1stavegour_gh,10080,burritoloversba_goldstreetmarke_ue,7560,Out of Range
veganindia_newyorktha_gh,5040,veganindianjoin_marhabaindian_ue,720,Out of Range
thechicken_modenapizz_gh,6090,thechickendream_modenapizzaicec_ue,900,Out of Range
thepastast_americanch_gh,5460,thepastastory_mrpizzaman_ue,780,Out of Range
chrisschickente_chelseapapaya_gh,10080,chrisschickente_chelseapapaya_ue,1439,Out of Range
theburgerh_tlkitche_gh,4620,theburgerhole_gaters_ue,600,Out of Range
sizzlintan_newyorktha_gh,5070,sizzlintandooro_marhabaindian_ue,720,Out of Range
despicable_1stavegour_gh,6720,despicablewraps_chelseafinefood_ue,1049,Out of Range
